request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_67,292.95,affordable_later,wait,2024-10-15:2094,2024-10-15,none,"Wait until 2024-10-15, then pay USD 2094 in full. Paying sooner would take the balance below the USD 1200 minimum."
request_68,1361.56,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1500 available. Balance is tightest on 2025-02-18."
request_69,517.79,affordable_with_plan,full_payment,2026-01-04:529.10,2026-02-15,none,Pay EUR 529.10 today. This keeps at least EUR 700 available. Balance is tightest on 2026-02-14.
request_70,49475.42,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Wait until 2025-02-15, then pay INR 243900 in full. Paying sooner would take the balance below the INR 115000 minimum."
request_71,77785.41,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-05-28. None of the available options keeps the IDR 8884800 minimum protected.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 in full on 2026-07-05. This is safe and keeps at least ZAR 12200 available throughout the forecast.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 in full on 2023-01-20. This is safe and keeps at least INR 103200 available throughout the forecast.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 in full on 2025-08-04. This is safe and keeps at least ZAR 21900 available throughout the forecast.
request_75,10416.40,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,,none,"Use 3 installments of ZAR 9800.27, starting 2026-04-09. This leaves at least ZAR 39000 available. Balance is tightest on 2026-07-04."
request_76,677.36,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-07-30. None of the available options keeps the USD 1800 minimum protected.
request_77,57385.30,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,none,Pay INR 60700 today. This keeps at least INR 82200 available. Balance is tightest on 2025-11-13.
request_78,45365.25,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-15,none,Pay INR 50200 today. This keeps at least INR 55200 available. Balance is tightest on 2025-10-13.
request_79,217.92,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-01. None of the available options keeps the EUR 1000 minimum protected.
request_80,112545.10,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-21. None of the available options keeps the INR 121300 minimum protected.
request_81,1044.49,affordable_with_plan,full_payment,2026-07-03:2076,2026-09-15,none,Pay USD 2076 today. This keeps at least USD 1600 available. Balance is tightest on 2026-09-13.
request_82,394.17,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Wait until 2025-02-15, then pay USD 1405.20 in full. Paying sooner would take the balance below the USD 1100 minimum."
request_83,11383.78,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-17. None of the available options keeps the INR 37800 minimum protected.
request_84,28776.49,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Wait until 2026-06-15, then pay INR 95400 in full. Paying sooner would take the balance below the INR 91300 minimum."
request_85,374061.81,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-04-26. None of the available options keeps the IDR 6396300 minimum protected.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 in full on 2025-08-03. This is safe and keeps at least INR 84900 available throughout the forecast.
request_87,18037.34,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-15. None of the available options keeps the INR 185900 minimum protected.
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9045.23, starting 2024-06-14. This leaves at least ZAR 25800 available. Balance is tightest on 2024-06-11."
request_89,9226703.57,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-12-15,none,"Use 3 installments of IDR 4768746.67, starting 2025-11-18. This leaves at least IDR 12534700 available. Balance is tightest on 2025-11-12."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 in full on 2026-07-06. This is safe and keeps at least ZAR 7600 available throughout the forecast.
request_91,455.10,affordable_with_plan,full_payment,2024-09-03:1927.20,2024-11-15,none,Pay EUR 1927.20 today. This keeps at least EUR 2100 available. Balance is tightest on 2024-09-14.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 in full on 2025-02-05. This is safe and keeps at least ZAR 28100 available throughout the forecast.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.20 in full on 2026-04-07. This is safe and keeps at least USD 1900 available throughout the forecast.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 in full on 2024-12-04. This is safe and keeps at least EUR 600 available throughout the forecast.
request_95,4013.74,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-07-14. None of the available options keeps the INR 145500 minimum protected.
request_96,74311.34,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Use 3 installments of INR 31269.33, starting 2026-01-10. This leaves at least INR 56500 available. Balance is tightest on 2026-01-14."
request_97,1833.87,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8145.28, starting 2024-03-19. This leaves at least ZAR 29700 available. Balance is tightest on 2024-03-11."
request_98,5625.20,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-15. None of the available options keeps the ZAR 30000 minimum protected.
request_99,16890.90,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,none,Pay ZAR 18062 today. This keeps at least ZAR 49100 available. Balance is tightest on 2026-07-12.
request_100,27631.84,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12866.19, starting 2024-06-13. This leaves at least ZAR 32500 available. Balance is tightest on 2024-06-12."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 in full on 2025-11-03. This is safe and keeps at least INR 187400 available throughout the forecast.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900 available. Balance is tightest on 2026-04-07."
request_103,1095.30,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-10-07. None of the available options keeps the INR 125500 minimum protected.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 in full on 2025-02-04. This is safe and keeps at least ZAR 24700 available throughout the forecast.
request_105,51553.55,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,none,Pay INR 53500 today. This keeps at least INR 73900 available. Balance is tightest on 2026-06-14.
request_106,440.12,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Wait until 2025-02-15, then pay EUR 2207.70 in full. Paying sooner would take the balance below the EUR 1200 minimum."
request_107,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-07-04. None of the available options keeps the EUR 1600 minimum protected.
request_108,2317.45,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-07-26. None of the available options keeps the ZAR 24100 minimum protected.
request_109,460.56,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1700 available. Balance is tightest on 2024-03-14."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 2025-08-06. This leaves at least ZAR 11200 available. Balance is tightest on 2025-08-07."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 in full on 2026-04-03. This is safe and keeps at least IDR 23022800 available throughout the forecast.
request_112,218.08,affordable_with_plan,full_payment,2024-06-05:271.70,2024-08-15,none,Pay EUR 271.70 today. This keeps at least EUR 500 available. Balance is tightest on 2024-08-12.
request_113,18391.46,affordable_with_plan,full_payment,2026-09-04:36500,2026-10-15,none,Pay INR 36500 today. This keeps at least INR 82300 available. Balance is tightest on 2026-09-14.
request_114,53369.32,affordable_with_plan,full_payment,2026-01-04:65300,2026-01-15,none,Pay INR 65300 today. This keeps at least INR 113400 available. Balance is tightest on 2026-01-14.
request_115,14552.20,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Wait until 2024-11-15, then pay INR 80500 in full. Paying sooner would take the balance below the INR 38800 minimum."
request_116,7550.39,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-16. None of the available options keeps the INR 80300 minimum protected.
request_117,848.69,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,none,Pay EUR 880 today. This keeps at least EUR 1000 available. Balance is tightest on 2026-07-12.
request_118,644.98,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-15,none,"Use 3 installments of EUR 255.87, starting 2024-12-07. This leaves at least EUR 600 available. Balance is tightest on 2024-12-14."
request_119,58565,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-07-17. None of the available options keeps the INR 151200 minimum protected.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 in full on 2026-04-06. This is safe and keeps at least IDR 20050300 available throughout the forecast.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 in full on 2024-03-03. This is safe and keeps at least USD 800 available throughout the forecast.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 2025-08-05. This leaves at least IDR 12588500 available. Balance is tightest on 2025-08-13."
request_123,0,affordable_with_plan,full_payment,2026-01-07:4076000,,none,Pay IDR 4076000 today. This keeps at least IDR 18091200 available. Balance is tightest on 2026-04-05.
request_124,1406.49,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1076.12, starting 2024-06-11. This leaves at least EUR 1600 available. Balance is tightest on 2024-06-11."
request_125,5490.44,affordable_with_plan,full_payment,2025-11-06:6468,2025-11-15,none,Pay ZAR 6468 today. This keeps at least ZAR 11300 available. Balance is tightest on 2025-11-14.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 in full on 2026-07-03. This is safe and keeps at least INR 129700 available throughout the forecast.
request_127,7933.25,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Wait until 2024-10-15, then pay ZAR 23980 in full. Paying sooner would take the balance below the ZAR 41000 minimum."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 in full on 2025-02-07. This is safe and keeps at least ZAR 42600 available throughout the forecast.
request_129,110.47,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-18. None of the available options keeps the USD 800 minimum protected.
request_130,405.41,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Wait until 2025-02-15, then pay USD 1978.80 in full. Paying sooner would take the balance below the USD 1400 minimum."
request_131,1110.68,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-07-23,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1100 available. Balance is tightest on 2025-05-17."
request_132,285,affordable_with_plan,full_payment,2026-01-05:379.86,2026-01-15,none,Pay USD 379.86 today. This keeps at least USD 1100 available. Balance is tightest on 2026-01-13.
request_133,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-03-29. None of the available options keeps the IDR 9986200 minimum protected.
request_134,4469014.82,affordable_later,wait,2025-09-15:21831000,2025-09-15,none,"Wait until 2025-09-15, then pay IDR 21831000 in full. Paying sooner would take the balance below the IDR 15902500 minimum."
request_135,273.59,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,none,Pay USD 304.80 today. This keeps at least USD 500 available. Balance is tightest on 2026-07-14.
request_136,496.37,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,none,Pay USD 560.40 today. This keeps at least USD 1100 available. Balance is tightest on 2024-06-14.
request_137,24928.90,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-15. None of the available options keeps the INR 71800 minimum protected.
request_138,996.36,affordable_with_plan,partial_payment,2026-04-07:996.36|2026-04-15:260.58,2026-04-15,none,Pay EUR 996.36 today and the remaining EUR 260.58 on 2026-04-15. This completes the full request and keeps the EUR 2300 minimum protected. Balance is tightest on 2026-04-13.
request_139,1368.31,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,"Use 3 installments of USD 802.88, starting 2024-09-07. This leaves at least USD 1500 available. Balance is tightest on 2024-09-13."
request_140,1622.98,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04. None of the available options keeps the ZAR 21600 minimum protected.
request_141,17048.57,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-02-12. None of the available options keeps the INR 67300 minimum protected.
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay USD 1263.60 in full on 2024-12-05. This is safe and keeps at least USD 1700 available throughout the forecast.
request_143,2653.42,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Wait until 2025-07-15, then pay ZAR 12584 in full. Paying sooner would take the balance below the ZAR 11300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 in full on 2026-07-04. This is safe and keeps at least USD 600 available throughout the forecast.
request_145,24072.18,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-26. None of the available options keeps the INR 155400 minimum protected.
request_146,14054.86,affordable_later,wait,2025-10-15:449400,2025-10-15,none,"Wait until 2025-10-15, then pay INR 449400 in full. Paying sooner would take the balance below the INR 108600 minimum."
request_147,462.16,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 2026-04-08. This leaves at least EUR 900 available. Balance is tightest on 2026-04-14."
request_148,7665.48,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-18. None of the available options keeps the ZAR 20000 minimum protected.
request_149,20357.02,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12706.03, starting 2025-11-18. This leaves at least ZAR 42100 available. Balance is tightest on 2025-11-13."
request_150,251.49,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,reduce_to:event_13787:16,"Use 3 installments of EUR 171.98, starting 2026-01-06. This leaves at least EUR 700 available. Balance is tightest on 2026-01-14."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 in full on 2024-09-03. This is safe and keeps at least IDR 31633600 available throughout the forecast.
request_152,11035.96,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,none,"Use 3 installments of ZAR 4812.43, starting 2025-02-12. This leaves at least ZAR 11900 available. Balance is tightest on 2025-02-12."
request_153,12.42,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-24. None of the available options keeps the USD 1400 minimum protected.
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 1300 available. Balance is tightest on 2024-12-13."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 in full on 2025-05-06. This is safe and keeps at least INR 56300 available throughout the forecast.
request_156,10951.86,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Wait until 2026-06-15, then pay ZAR 43076 in full. Paying sooner would take the balance below the ZAR 26900 minimum."
request_157,4352610.76,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Wait until 2024-05-15, then pay IDR 23503000 in full. Paying sooner would take the balance below the IDR 15714100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 2025-08-07. This leaves at least INR 131400 available. Balance is tightest on 2025-08-07."
request_159,0,affordable_with_plan,full_payment,2026-01-04:13398,,none,Pay ZAR 13398 today. This keeps at least ZAR 8700 available. Balance is tightest on 2026-04-04.
request_160,574.47,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1200 available. Balance is tightest on 2024-06-10."
request_161,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-15. None of the available options keeps the IDR 23010400 minimum protected.
request_162,1159061.72,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-26. None of the available options keeps the IDR 24161100 minimum protected.
request_163,8239209.80,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-11-15,reduce_to:event_15018:664050,"Use 3 installments of IDR 6692053.33, starting 2024-09-10. This leaves at least IDR 26728700 available. Balance is tightest on 2024-09-14."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 2025-02-11. This leaves at least IDR 29550500 available. Balance is tightest on 2025-02-13."
request_165,79004.86,affordable_with_plan,full_payment,2026-04-06:80600,,none,Pay INR 80600 today. This keeps at least INR 95000 available. Balance is tightest on 2026-07-02.
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 2024-12-03. This leaves at least USD 1700 available. Balance is tightest on 2024-12-07."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 in full on 2025-05-05. This is safe and keeps at least ZAR 31200 available throughout the forecast.
request_168,28721.68,affordable_with_plan,partial_payment,2026-01-07:28721.68|2026-02-15:20658.32,2026-02-15,none,Pay INR 28721.68 today and the remaining INR 20658.32 on 2026-02-15. This completes the full request and keeps the INR 114400 minimum protected. Balance is tightest on 2026-01-13.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 in full on 2024-03-04. This is safe and keeps at least ZAR 18700 available throughout the forecast.
request_170,30183194.40,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12804480, starting 2025-08-06. This leaves at least IDR 24715800 available. Balance is tightest on 2025-08-14."
request_171,30.56,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-10. None of the available options keeps the EUR 500 minimum protected.
request_172,9598.68,affordable_with_plan,partial_payment,2024-06-05:9598.68|2024-06-15:601.32,2024-06-15,none,Pay ZAR 9598.68 today and the remaining ZAR 601.32 on 2024-06-15. This completes the full request and keeps the ZAR 27200 minimum protected. Balance is tightest on 2024-06-12.
request_173,52640.85,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,,reduce_to:event_15946:2105,"Use 3 installments of INR 39173.33, starting 2025-11-21. This leaves at least INR 79100 available. Balance is tightest on 2025-11-14."
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 700 available. Balance is tightest on 2026-04-13."
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay EUR 2346.30 in full on 2024-09-06. This is safe and keeps at least EUR 1700 available throughout the forecast.
